ORIGINAL_FILENAME:c4LfM4A13xMTpUWUW%%g8%Qba35Di5%gnlcFeXdKbDw=.dat
idx,grade,option_value,position,rune_price,key_price,set_number,rate,version
1001,1,1,1,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1002,1,1,2,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1003,1,1,3,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1004,1,1,4,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1005,1,1,5,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1006,1,1,6,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1007,1,1,7,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1008,1,1,8,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1009,1,1,9,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
1010,1,1,10,"{""idx"": 146, ""count"": ""5""}","{""idx"": 2, ""count"": ""100""}",0,10000,1.0.0
2001,2,1,1,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2002,2,1,2,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2003,2,1,3,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2004,2,1,4,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2005,2,1,5,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2006,2,1,6,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2007,2,1,7,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2008,2,1,8,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2009,2,1,9,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
2010,2,1,10,"{""idx"": 146, ""count"": ""10""}","{""idx"": 2, ""count"": ""200""}",0,10000,1.0.0
3001,3,2,1,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3002,3,2,2,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3003,3,2,3,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3004,3,2,4,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3005,3,2,5,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3006,3,2,6,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3007,3,2,7,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3008,3,2,8,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3009,3,2,9,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
3010,3,2,10,"{""idx"": 146, ""count"": ""20""}","{""idx"": 2, ""count"": ""400""}",0,10000,1.0.0
4001,4,2,1,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4002,4,2,2,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4003,4,2,3,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4004,4,2,4,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4005,4,2,5,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4006,4,2,6,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4007,4,2,7,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4008,4,2,8,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
4009,4,2,9,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
