ORIGINAL_FILENAME:c4LfM4A13xMTpUWUW%%g8zOxJBYMAhh+NPPKCjptvwc=.dat
lv,slot_count,grade_rate_1,grade_rate_2,grade_rate_3,grade_rate_4,grade_rate_5,grade_rate_6,grade_rate_7,grade_rate_8,upgrade_cost,upgrade_cost_total,upgrade_time,version
1,2,92900,5000,2000,100,0,0,0,0,"{""idx"": 146, ""count"": 50}",0,10,1.0.0
2,2,85800,10000,4000,200,0,0,0,0,"{""idx"": 146, ""count"": 280}",50,60,1.0.0
3,2,78700,15000,6000,300,0,0,0,0,"{""idx"": 146, ""count"": 920}",330,180,1.0.0
4,3,71600,20000,8000,400,0,0,0,0,"{""idx"": 146, ""count"": 3310}",1250,600,1.0.0
5,3,64500,25000,10000,500,0,0,0,0,"{""idx"": 146, ""count"": 10700}",4560,1800,1.0.0
6,3,56900,30000,12500,600,0,0,0,0,"{""idx"": 146, ""count"": 23180}",15260,3600,1.0.0
7,4,49300,35000,15000,700,0,0,0,0,"{""idx"": 146, ""count"": 49930}",38440,7200,1.0.0
8,4,41700,40000,17500,800,0,0,0,0,"{""idx"": 146, ""count"": 80240}",88370,10800,1.0.0
9,4,34100,45000,20000,900,0,0,0,0,"{""idx"": 146, ""count"": 114110}",168610,14400,1.0.0
10,5,26480,50000,22500,1000,20,0,0,0,"{""idx"": 146, ""count"": 151800}",282720,18000,1.0.0
11,5,22960,50000,25000,2000,40,0,0,0,"{""idx"": 146, ""count"": 194210}",434520,21600,1.0.0
12,5,19440,50000,27500,3000,60,0,0,0,"{""idx"": 146, ""count"": 240700}",628730,25200,1.0.0
13,6,15920,50000,30000,4000,80,0,0,0,"{""idx"": 146, ""count"": 291100}",869430,28800,1.0.0
14,6,12400,50000,32500,5000,100,0,0,0,"{""idx"": 146, ""count"": 384000}",1160530,36000,1.0.0
15,6,8880,50000,35000,6000,120,0,0,0,"{""idx"": 146, ""count"": 484900}",1544530,43200,1.0.0
16,7,0,55360,37500,7000,140,0,0,0,"{""idx"": 146, ""count"": 517700}",2029430,43200,1.0.0
17,7,0,54340,37500,8000,160,0,0,0,"{""idx"": 146, ""count"": 528000}",2547130,43200,1.0.0
18,7,0,53300,37500,9000,200,0,0,0,"{""idx"": 146, ""count"": 808300}",3075130,64800,1.0.0
19,8,0,49700,40000,10000,300,0,0,0,"{""idx"": 146, ""count"": 839400}",3883430,64800,1.0.0
20,8,0,48600,40000,11000,400,0,0,0,"{""idx"": 146, ""count"": 858300}",4722830,64800,1.0.0
21,8,0,47500,40000,12000,500,0,0,0,"{""idx"": 146, ""count"": 1169700}",5581130,86400,1.0.0
22,9,0,47400,38000,14000,600,0,0,0,"{""idx"": 146, ""count"": 1201400}",6750830,86400,1.0.0
23,9,0,45300,38000,16000,700,0,0,0,"{""idx"": 146, ""count"": 1246200}",7952230,86400,1.0.0
24,9,0,43200,38000,18000,800,0,0,0,"{""idx"": 146, ""count"": 1290900}",9198430,86400,1.0.0
25,9,0,39100,40000,20000,900,0,0,0,"{""idx"": 146, ""count"": 2697000}",10489330,172800,1.0.0
26,10,0,34990,42000,22000,1000,10,0,0,"{""idx"": 146, ""count"": 1407100}",13186330,345600,1.0.0
27,10,0,29980,44000,24000,2000,20,0,0,"{""idx"": 146, ""count"": 9108900}",14593430,518400,1.0.0
28,10,0,24970,46000,26000,3000,30,0,0,"{""idx"": 146, ""count"": 13033700}",23702330,691200,1.0.0
29,10,0,19960,48000,28000,4000,40,0,0,"{""idx"": 146, ""count"": 17402700}",36736030,864000,1.0.0
30,10,0,14950,50000,30000,5000,50,0,0,"{""idx"": 146, ""count"": 22216100}",54138730,1036800,1.0.0
31,10,0,0,61890,32000,6000,100,10,0,"{""idx"": 146, ""count"": 24384000}",76354830,1036800,1.0.0
32,10,0,0,58860,34000,7000,120,20,0,"{""idx"": 146, ""count"": 29585700}",100738830,1209600,1.0.0
33,10,0,0,55830,36000,8000,140,30,0,"{""idx"": 146, ""count"": 35112300}",130324530,1382400,1.0.0
34,10,0,0,52800,38000,9000,160,40,0,"{""idx"": 146, ""count"": 40964000}",165436830,1555200,1.0.0
35,10,0,0,49770,40000,10000,180,50,0,"{""idx"": 146, ""count"": 47140800}",206400830,1728000,1.0.0
36,10,0,0,41645,46000,12000,250,100,5,"{""idx"": 146, ""count"": 61358900}",253541630,2073600,1.0.0
37,10,0,0,38470,47000,14000,400,120,10,"{""idx"": 146, ""count"": 75395600}",314900530,2419200,1.0.0
38,10,0,0,35295,48000,16000,550,140,15,"{""idx"": 146, ""count"": 90521000}",390296130,2764800,1.0.0
39,10,0,0,32120,49000,18000,700,160,20,"{""idx"": 146, ""count"": 106735000}",480817130,3110400,1.0.0
40,10,0,0,28945,50000,20000,850,180,25,"{""idx"": 146, ""count"": 0}",587552130,0,1.0.0
