ORIGINAL_FILENAME:c4LfM4A13xMTpUWUW%%g8zYjdZIzCxBKIZZpBdqmlVk=.dat
idx,name_key,min,max,grade_value_1,grade_value_2,grade_value_3,grade_value_4,grade_value_5,grade_value_6,grade_value_7,grade_value_8,floor_value,accumulate_max,rate,version
1,t_ui_maches_option_01,100,10000,1000.0,3500.0,14000.0,63000.0,315000.0,2520000.0,25200000.0,252000000.0,0.1,0,5000,1.0.0
2,t_ui_maches_option_02,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
3,t_ui_maches_option_03,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
4,t_ui_maches_option_04,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,5000,1.0.0
5,t_ui_maches_option_05,100,1000,0.001,0.01,0.04,0.18,0.9,3.6,21.6,129.6,0.0002,0,3000,1.0.0
6,t_ui_maches_option_06,100,1000,0.4,1.4,5.6,25.2,126.0,1008.0,10080.0,100800.0,0.005,0,3000,1.0.0
7,t_ui_maches_option_07,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
8,t_ui_maches_option_08,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
9,t_ui_maches_option_09,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
10,t_ui_maches_option_10,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
11,t_ui_maches_option_11,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.005,0,3000,1.0.0
12,t_ui_maches_option_12,100,1000,0.01,0.04,0.16,0.72,3.6,28.8,288.0,2880.0,0.001,0,3000,1.0.0
13,t_ui_maches_option_13,100,1000,0.01,0.04,0.16,0.72,3.6,28.8,288.0,2880.0,0.001,0,3000,1.0.0
14,t_ui_maches_option_14,100,1000,0.001,0.01,0.04,0.18,0.9,3.6,21.6,129.6,0.0002,0,3000,1.0.0
15,t_ui_maches_option_15,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.001,0,3000,1.0.0
16,t_ui_maches_option_16,100,1000,0.1,0.35,1.4,6.3,31.5,252.0,2520.0,25200.0,0.001,0,3000,1.0.0
17,t_ui_maches_option_17,100,1000,0.01,0.04,0.16,0.72,3.6,28.8,288.0,2880.0,0.001,0,3000,1.0.0
18,t_ui_maches_option_18,100,1000,0.01,0.04,0.16,0.72,3.6,28.8,288.0,2880.0,0.001,0,3000,1.0.0
19,t_ui_maches_option_19,100,1000,0.05,0.18,0.72,3.24,16.2,129.6,1296.0,12960.0,0.001,0,3000,1.0.0
20,t_ui_maches_option_20,100,1000,0.05,0.18,0.72,3.24,16.2,129.6,1296.0,12960.0,0.001,0,3000,1.0.0
21,t_ui_maches_option_21,100,1000,0.05,0.18,0.72,3.24,16.2,129.6,1296.0,12960.0,0.001,0,3000,1.0.0
22,t_ui_maches_option_22,100,1000,0.05,0.18,0.72,3.24,16.2,129.6,1296.0,12960.0,0.001,0,3000,1.0.0
23,t_ui_maches_option_23,100,1000,0.002,0.01,0.04,0.18,0.9,7.2,72.0,720.0,0.001,0,3000,1.0.0
24,t_ui_maches_option_24,100,1000,0.002,0.01,0.04,0.18,0.9,7.2,72.0,720.0,0.001,0,3000,1.0.0
25,t_ui_maches_option_25,1,1,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,0.0,30,3000,1.0.0
26,t_ui_maches_option_26,10,100,0.01,0.02,0.05,0.1,0.2,0.3,0.5,1.0,0.0,10000,5000,1.0.0
27,t_ui_maches_option_27,1,2,1.0,2.0,4.0,8.0,16.0,32.0,64.0,128.0,0.0,1000,5000,1.0.0
28,t_ui_maches_option_28,1,1,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,0.0,10,5000,1.0.0
29,t_ui_maches_option_29,1,1,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,0.0,100,3000,1.0.0
30,t_ui_maches_option_30,1,5,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,100,3000,1.0.0
